shooting_cr,shooting_ci,shooting_omega_i,rank_by_growth,mapping_kind,mapping_scale,cubic_delta,xi_max,cr,ci,omega_i,distance_to_shooting
0.2579166666666666,0.04337239583333333,0.010409374999999998,1,pin,5.0,0.2,0.98,0.2656630523019985,0.062462494950812616,0.014990998788195027,0.03895810605858568
0.2579166666666666,0.04337239583333333,0.010409374999999998,2,pin,5.0,0.2,0.98,0.24102165759120991,0.06142034894676673,0.014740883747224013,0.039854181436814455
0.2579166666666666,0.04337239583333333,0.010409374999999998,3,pin,5.0,0.2,0.98,0.29256482720247634,0.05927040450423569,0.014224897081016563,0.047026394156001246
0.2579166666666666,0.04337239583333333,0.010409374999999998,4,pin,5.0,0.2,0.98,0.2126598521099135,0.05821114403334594,0.013970674568003025,0.05411961803632627
0.2579166666666666,0.04337239583333333,0.010409374999999998,5,pin,5.0,0.2,0.98,0.32123313046038243,0.056668959838753565,0.013600550361300855,0.06867436963483446
0.2579166666666666,0.04337239583333333,0.010409374999999998,6,pin,5.0,0.2,0.98,0.182786979892444,0.05567740034127606,0.013362576081906254,0.07905771549036036
0.2579166666666666,0.04337239583333333,0.010409374999999998,7,pin,5.0,0.2,0.98,0.3505298905724963,0.054262482474454636,0.013022995793869112,0.0951398191633548
0.2579166666666666,0.04337239583333333,0.010409374999999998,8,pin,5.0,0.2,0.98,0.15217671435962277,0.05409930559735352,0.012983833343364845,0.1078944108201979
0.2579166666666666,0.04337239583333333,0.010409374999999998,10,pin,5.0,0.2,0.98,0.3797898775676448,0.052669260744298785,0.012640622578631707,0.1232834389689275
0.2579166666666666,0.04337239583333333,0.010409374999999998,164,pin,5.0,0.2,0.98,0.1654580816183567,3.094690058523077e-17,7.427256140455386e-18,0.12678031720432376
0.2579166666666666,0.04337239583333333,0.010409374999999998,9,pin,5.0,0.2,0.98,0.12202787399895695,0.0531754318957669,0.012762103654984055,0.1372958922796064
0.2579166666666666,0.04337239583333333,0.010409374999999998,162,pin,5.0,0.2,0.98,0.14913921526800306,2.497930048872667e-16,5.995032117294401e-17,0.1391301290665754
0.2579166666666666,0.04337239583333333,0.010409374999999998,161,pin,5.0,0.2,0.98,0.14097236736283061,2.5848625345734855e-16,6.203670082976365e-17,0.14560435440246453
0.2579166666666666,0.04337239583333333,0.010409374999999998,13,pin,5.0,0.2,0.98,0.4083080705120505,0.05099431840971554,0.01223863641833173,0.15116199643305456
0.2579166666666666,0.04337239583333333,0.010409374999999998,165,pin,5.0,0.2,0.98,0.12806072060396004,1.2059280701442622e-17,2.8942273683462293e-18,0.15616409833612194
0.2579166666666666,0.04337239583333333,0.010409374999999998,11,pin,5.0,0.2,0.98,0.09249505024760199,0.05260925766401436,0.012626221839363445,0.16644996138363183
0.2579166666666666,0.04337239583333333,0.010409374999999998,156,pin,5.0,0.2,0.98,0.10854571587668477,6.617437837046553e-15,1.5881850808911726e-15,0.17273198841324755
0.2579166666666666,0.04337239583333333,0.010409374999999998,157,pin,5.0,0.2,0.98,0.10127600297578071,1.4769120746151244e-15,3.5445889790762987e-16,0.17905573546472647
0.2579166666666666,0.04337239583333333,0.010409374999999998,15,pin,5.0,0.2,0.98,0.4368579107905761,0.049213206480083406,0.011811169555220017,0.17932213785435785
0.2579166666666666,0.04337239583333333,0.010409374999999998,12,pin,5.0,0.2,0.98,0.06413686681726961,0.051785203821826324,0.012428448917238316,0.19450890000891316
