alpha,Mach,cr,ci,omega_i
0.02,1.0,0.0006785763980923669,0.0814096146951193,0.001628192293902386
0.10833333333333334,1.0,0.0007167485836618643,0.08175318318726038,0.008856594845286541
0.19666666666666666,1.0,0.0005199352545306703,0.08167852105120578,0.016063442473403803
0.28500000000000003,1.0,0.00023067949257128117,0.08115133460764287,0.02312813036317822
0.37333333333333335,1.0,0.0008131012351249455,0.08147804821171496,0.030418471332373586
0.46166666666666667,1.0,0.0011061421312984264,0.08161286134513968,0.03767793765433949
0.55,1.0,0.0006946108811437416,0.08154268381547368,0.044848476098510524
0.02,1.1666666666666667,0.0005702514486437281,0.08160522886173602,0.0016321045772347204
0.10833333333333334,1.1666666666666667,0.00035744010486450694,0.08137249142941963,0.008815353238187128
0.19666666666666666,1.1666666666666667,0.0007635385309104778,0.08154063724311945,0.01603632532448016
0.28500000000000003,1.1666666666666667,0.0007443875008419869,0.08153565779460578,0.02323766247146265
0.37333333333333335,1.1666666666666667,0.0009574415034051976,0.08113527851966115,0.030290503980673497
0.46166666666666667,1.1666666666666667,0.0006760823394403632,0.08167895491072927,0.037708450850453344
0.55,1.1666666666666667,0.0009938295251094216,0.08128035185420175,0.04470419351981097
0.02,1.3333333333333333,0.0006842496663664858,0.0816549512998694,0.0016330990259973879
0.10833333333333334,1.3333333333333333,0.0006909774982151577,0.08172055408829608,0.008853060026232075
0.19666666666666666,1.3333333333333333,0.0013148229721473038,0.08153385028476834,0.01603499055600444
0.28500000000000003,1.3333333333333333,0.0009793089620716783,0.08138681855512968,0.023195243288211962
0.37333333333333335,1.3333333333333333,0.0009744910637258384,0.08151430000968682,0.030432005336949747
0.46166666666666667,1.3333333333333333,0.0010711126619505908,0.08124785614328654,0.03750942691948395
0.55,1.3333333333333333,0.0016714810611395078,0.08140205598666947,0.044771130792668215
0.02,1.5,0.000803270696495355,0.08153707797111097,0.0016307415594222195
0.10833333333333334,1.5,0.0008000622934983236,0.08151271599702199,0.008830544233010716
0.19666666666666666,1.5,0.0009857209411348866,0.08159073285123453,0.01604617746074279
0.28500000000000003,1.5,0.0008924306462567147,0.08145243195780684,0.023213943107974953
0.37333333333333335,1.5,0.0011985023831058248,0.08117178883455481,0.030304134498233798
0.46166666666666667,1.5,0.0006722983247989918,0.08068198911133782,0.03724818497306763
0.55,1.5,0.0014911937297925983,0.08107726315226163,0.0445924947337439
0.02,1.6666666666666665,0.0005792973257200305,0.08162691856809684,0.0016325383713619369
0.10833333333333334,1.6666666666666665,0.0007598939584715498,0.08154886843055177,0.008834460746643109
0.19666666666666666,1.6666666666666665,0.000877914186705193,0.08155170414763764,0.01603850181570207
0.28500000000000003,1.6666666666666665,0.0010976870924220082,0.08161111063421386,0.023259166530750955
0.37333333333333335,1.6666666666666665,0.0012051730446050826,0.08113039020839607,0.030288679011134537
0.46166666666666667,1.6666666666666665,0.0012036117979056108,0.0811030558224532,0.03744257743803256
0.55,1.6666666666666665,0.001577952101155914,0.08071689566349165,0.04439429261492041
0.02,1.8333333333333333,0.0007980836812537747,0.0813069019713721,0.0016261380394274418
0.10833333333333334,1.8333333333333333,0.0007335406007879468,0.08206024578062704,0.00888985995956793
0.19666666666666666,1.8333333333333333,0.0009017388466141489,0.08126477176326345,0.01598207178010848
0.28500000000000003,1.8333333333333333,0.0011815842715508112,0.08130190603555816,0.02317104322013408
0.37333333333333335,1.8333333333333333,0.0013470805827393646,0.08130693179993882,0.030354587871977163
0.46166666666666667,1.8333333333333333,0.0015527936551420437,0.08113887872037127,0.037459115675904736
0.55,1.8333333333333333,0.001665061213907764,0.08069557595088392,0.04438256677298616
0.02,2.0,0.0006254423896345092,0.08170734260143991,0.0016341468520287984
0.10833333333333334,2.0,0.0010675823910118532,0.08171123788610535,0.008852050770994746
0.19666666666666666,2.0,0.0010061805005141386,0.08145809797848885,0.01602009260243614
0.28500000000000003,2.0,0.001247145861967371,0.08138424573887958,0.023194510035580682
0.37333333333333335,2.0,0.001472186194909327,0.08086421326410467,0.030189306285265748
0.46166666666666667,2.0,0.0016706587490276927,0.08099095884973115,0.03739082600229255
0.55,2.0,0.002237970975309237,0.08022486404506804,0.044123675224787426
