alpha,Mach,cr,ci,omega_i,mismatch,domain_size,success
0.14,1.0,0.00014284512041669244,0.005000001101428557,0.000700000154199998,5.184820613184931e-07,80.0,True
0.19,1.0,0.0001428449510166492,0.005000001102672444,0.0009500002095077643,1.208076030412725e-06,80.0,True
0.24000000000000002,1.0,0.0001428449073650563,0.005000001102957896,0.0012000002647098952,2.178628537379702e-06,80.0,True
0.29000000000000004,1.0,0.00014284486571890598,0.005000001103260146,0.0014500003199454424,3.4436716510983714e-06,80.0,True
0.34,1.0,0.00014284468307720373,0.005000001105149035,0.001700000375750672,5.019245225884746e-06,80.0,True
0.14,1.1,0.00014284509333623027,0.005000001101810992,0.000700000154253539,1.1499524185561004e-06,80.0,True
0.19,1.1,0.00014284497484691393,0.005000001102540887,0.0009500002094827685,2.1593731491168507e-06,80.0,True
0.24000000000000002,1.1,0.00014284506594759431,0.005000001101370301,0.0012000002643288723,3.49751946807634e-06,80.0,True
0.29000000000000004,1.1,0.00014284487818407092,0.005000000975333941,0.001450000282846843,5.1768980860363e-06,80.0,True
0.34,1.1,0.00014284489852437534,0.005000001101076627,0.0017000003743660533,7.212600274244584e-06,80.0,True
0.14,1.2,0.00014284518847633123,0.005000001101265207,0.000700000154177129,1.4055827068275826e-06,80.0,True
0.19,1.2,0.00014284503732332646,0.005000001101788346,0.0009500002093397858,2.6145895776818138e-06,80.0,True
0.24000000000000002,1.2,0.000142845092708906,0.0050000011010578336,0.0012000002642538802,4.2087173782701e-06,80.0,True
0.29000000000000004,1.2,0.0001428451030277701,0.005000000971938549,0.0014500002818621793,6.199873234405025e-06,80.0,True
0.34,1.2,0.0001428449692395651,0.005000000861522531,0.0017000002929176607,8.602436572960203e-06,80.0,True
0.14,1.2999999999999998,0.0001428453148613557,0.005000001100433614,0.000700000154060706,1.6660946083059747e-06,80.0,True
0.19,1.2999999999999998,0.00014284526341397862,0.0050000010995048865,0.0009500002089059285,3.084964606852835e-06,80.0,True
0.24000000000000002,1.2999999999999998,0.00014284510726708286,0.005000000971856922,0.0012000002332456614,4.9488884710322385e-06,80.0,True
0.29000000000000004,1.2999999999999998,0.0001428455825605338,0.005000000997878896,0.0014500002893848799,7.268439254021336e-06,80.0,True
0.34,1.2999999999999998,0.00014284487912483688,0.005000000802904434,0.0017000002729875077,1.0056373445128606e-05,80.0,True
0.14,1.4,0.000142886639329717,0.005000001613355047,0.0007000002258697066,1.9406635727336706e-06,80.0,True
0.19,1.4,0.00014288668123002302,0.005000001613350803,0.0009500003065366526,3.5825169519272844e-06,80.0,True
0.24000000000000002,1.4,0.00014288667945057683,0.005000001623105993,0.0012000003895454383,5.732505459792568e-06,80.0,True
0.29000000000000004,1.4,0.00014288667554347698,0.005000001660760658,0.001450000481620591,8.398954538903e-06,80.0,True
0.34,1.4,0.00014288670997989475,0.00500000162664411,0.0017000005530589976,1.1592023153673308e-05,80.0,True
