alpha,ci_classic_gep,ci_run_a,ci_run_b,amp_rel_run_a,amp_rel_run_b,phase_rmse_run_a,phase_rmse_run_b
0.05,0.7373277142191914,0.7337384819984436,0.7389875650405884,0.1820016708827514,0.1825375503617533,0.1844549306925804,0.2052358853647464
0.1,0.6704524577922079,0.6718112826347351,0.6746265292167664,0.2759311366761138,0.2983662145438902,0.2427384068527791,0.1456746556435338
0.15,0.6087106028348551,0.6119585633277893,0.6130910515785217,0.2921534677338936,0.3228356292883039,0.2544716362241841,0.2013970598019688
0.2,0.5512525140722014,0.5544378161430359,0.5546703934669495,0.2871011870636905,0.3195419642926503,0.2551280992784654,0.2143870267440354
0.25,0.497417481831794,0.4994808435440063,0.4995745420455932,0.2772028571813749,0.3078674360057365,0.2570163858885319,0.2125040455124736
0.3,0.4466821348792524,0.4472803473472595,0.4478972554206848,0.2696944116287121,0.2967018221539387,0.2557555459015198,0.2017595282901782
0.35,0.398624351838005,0.3979684710502624,0.3995751738548279,0.2689319161284614,0.2917497060563302,0.2524684627865733,0.1912515243883793
0.3999999999999999,0.3528983788533735,0.3515829145908355,0.3543480634689331,0.2781943898559447,0.29763362067907,0.2468154480377583,0.1854753312735771
0.4499999999999999,0.3092172026300068,0.3080094754695892,0.3117283582687378,0.0315584978373486,0.0551328672808086,0.1510666851805475,0.1121230025003427
0.4999999999999999,0.2673397679464638,0.2668863236904144,0.2709869742393493,0.0308201551973814,0.0524873117343603,0.1326510857642886,0.0894092128820954
0.5499999999999999,0.2270615170772097,0.22745943069458,0.2311623990535736,0.0269984402087085,0.0435914854252287,0.1135757607606997,0.0760135353194098
0.6,0.1882072606088794,0.1884349137544632,0.1911264806985855,0.0230905170807622,0.0317885574196065,0.093711774529978,0.0616032827138938
0.65,0.1506257182958774,0.1481500715017318,0.1499004662036895,0.0202872372741507,0.0201253054512975,0.0727947080016154,0.0495561661445843
0.7,0.1141852781418014,0.1061156466603279,0.1078015714883804,0.0174826194516986,0.0111387247832051,0.0543833889914436,0.0388231845977856
0.75,0.0787706586720685,0.0666834339499473,0.0687194466590881,0.0131296452091582,0.0067623546819324,0.0372745564148208,0.0296353038933215
0.7999999999999999,0.0442802506752769,0.0383575484156608,0.0396528951823711,0.0092755301506462,0.0082393919605361,0.0201824573654455,0.0188165528636611
