alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,blumen_cr,blumen_ci,err_cr_blumen,err_ci_blumen,score,peak_y,centroid_y,spread_y,phase_span,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,distance_to_shooting
0.2,1.2,1,0.23986856963727496,0.006430913991795688,0.0012861827983591378,0.23697519236816028,0.06222266952409093,0.0028933772691146775,0.05579175553229524,7.885830041948787,-7.105263157894739,-1.0094034858235696,2.4735723814955173,0.07865073940422729,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11411148030106606
0.2,1.2,2,0.230062686995214,0.006311840443871657,0.0012623680887743315,0.23697519236816028,0.06222266952409093,0.00691250537294627,0.05591082908021927,7.982981381016038,-7.105263157894739,-0.9210480625997931,2.455158237847118,0.07096098038842302,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11476801550943837
0.2,1.2,3,0.2496879705873072,0.006548200391679267,0.0013096400783358534,0.23697519236816028,0.06222266952409093,0.01271277821914693,0.05567446913241166,8.065826358629044,-7.105263157894739,-1.109689344811856,2.4914953404678726,0.0881290771152885,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11430077138981874
0.2,1.2,4,0.2202699400710173,0.006191011121918056,0.0012382022243836114,0.23697519236816028,0.06222266952409093,0.01670525229714298,0.056031658402172876,8.19597512001052,-7.105263157894739,-0.8424904762886771,2.4368486300653576,0.06459229299723912,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11625265175638665
0.2,1.2,5,0.25952123409985495,0.006663618922959153,0.0013327237845918308,0.23697519236816028,0.06222266952409093,0.022546041731694666,0.05555905060113178,8.246488224732865,-7.105263157894739,-1.2246789533241291,2.507965407466942,0.10011127253068852,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11533537293681423
0.2,1.2,6,0.2104899132039203,0.0060684046847854336,0.0012136809369570868,0.23697519236816028,0.06222266952409093,0.026485279164239983,0.056154264839305496,8.409082338907503,-7.105263157894739,-0.7720653391086246,2.4190120578584535,0.059226062696895676,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11853118746623081
0.2,1.2,7,0.2693686597969454,0.006777042549872176,0.0013554085099744353,0.23697519236816028,0.06222266952409093,0.03239346742878513,0.05544562697421876,8.42783662817909,-7.105263157894739,-1.3580389920104685,2.5214176705143014,0.1157495534081383,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11719668808507935
0.2,1.2,8,0.27923049529916355,0.006888301054632778,0.0013776602109265557,0.23697519236816028,0.06222266952409093,0.04225530293100327,0.055334368469458155,8.609895155666111,-7.105263157894739,-1.5147004079253137,2.529264721154716,0.13702534319437398,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.11985007547937104
0.2,1.2,9,0.20072216197238435,0.005943942935545081,0.0011887885871090164,0.23697519236816028,0.06222266952409093,0.03625303039577593,0.05627872658854585,8.62231576481837,-7.105263157894739,-0.7084535587431079,2.4018733896301905,0.0546374477602799,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.12155623004288085
0.2,1.2,10,0.2891069278106119,0.006997184714906824,0.0013994369429813649,0.23697519236816028,0.06222266952409093,0.05213173544245164,0.05522548480918411,8.792689824432596,-7.105263157894739,-1.701395672460348,2.5271284559518397,0.16765128306014976,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.12324828198526033
0.2,1.2,11,0.1909662166403012,0.005817485422366918,0.0011634970844733837,0.23697519236816028,0.06222266952409093,0.046008975727859086,0.056405184101724015,8.83569598454852,-7.105263157894739,-0.6505966747677978,2.385565500814413,0.050662984597138916,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.12527130499984906
0.2,1.2,12,0.2989980747780591,0.007103448979424675,0.0014206897958849351,0.23697519236816028,0.06222266952409093,0.06202288240989884,0.05511922054466625,8.976248856749477,-7.105263157894739,-1.927367100228363,2.507389088646284,0.21545342262072542,0.23985351562499993,0.06348665364583335,0.012697330729166671,True,0.12733554865482863
0.2,1.25,1,0.2301253479822088,0.006636873766185317,0.0013273747532370635,0.2338874746306954,0.05451369857891339,0.0037621266484866023,0.04787682481272807,6.793677298060091,-7.105263157894739,-1.474745893305272,2.5592543641296004,0.13695816809728903,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.10452860872286579
0.2,1.25,2,0.23993559002395626,0.006764205616448409,0.0013528411232896819,0.2338874746306954,0.05451369857891339,0.006048115393260861,0.04774949296246498,6.821062132226941,-7.105263157894739,-1.6686424424829647,2.5573908940335115,0.16801244441842034,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.1011387307775095
0.2,1.25,3,0.24975947886849623,0.006889842095308408,0.0013779684190616817,0.2338874746306954,0.05451369857891339,0.01587200423780083,0.04762385648360498,6.999572019559901,-7.105263157894739,-1.9045369776004732,2.5371193307397335,0.21684956649960463,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.09861351399457916
0.2,1.25,4,0.22032839003644247,0.006507907421378149,0.0013015814842756298,0.2338874746306954,0.05451369857891339,0.013559084594252924,0.04800579115753524,7.008297253442495,-7.105263157894739,-1.3126466982712086,2.5509393738145536,0.1154947305581604,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.10869866335001702
0.2,1.25,5,0.25959732950513187,0.007013674896677265,0.0014027349793354531,0.2338874746306954,0.05451369857891339,0.025709854874436472,0.047500023682236124,7.178754133694252,-7.105263157894739,-2.1960860812341347,2.4834761019727436,0.30428879427533584,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.09702480461643524
0.2,1.25,6,0.2105443125817302,0.006377315229502022,0.0012754630459004045,0.2338874746306954,0.05451369857891339,0.023343162048965194,0.048136383349411366,7.222990873308358,-7.105263157894739,-1.1750002098336365,2.5370847947388864,0.09977557187977193,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.11355975607642256
0.2,1.25,7,0.269449401338611,0.007135553322925697,0.0014271106645851394,0.2338874746306954,0.05451369857891339,0.03556192670791561,0.04737814525598769,7.358642388640882,-7.105263157894739,-2.556277041739369,2.3707976747980832,0.5000227686891332,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.09642345762862412
0.2,1.25,8,0.20077267686454284,0.00624504850146551,0.001249009700293102,0.2338874746306954,0.05451369857891339,0.03311479776615256,0.04826865007744788,7.437760629762457,-7.105263157894739,-1.0564798513669762,2.520384632284745,0.08776219298475185,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.11902442397802335
0.2,1.25,9,0.2793158893679417,0.007255290090602366,0.0014510580181204733,0.2338874746306954,0.05451369857891339,0.04542841473724632,0.047258408488311025,7.53927036962915,-7.105263157894739,-2.9396678946942734,2.1976697679665165,1.1265803437684707,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.09683257680453038
0.2,1.25,10,0.19101301370910562,0.006110995218912609,0.0012221990437825219,0.2338874746306954,0.05451369857891339,0.04287446092158978,0.04840270336000078,7.652619355304477,-7.105263157894739,-0.9531571413241401,2.502441284600162,0.0782750266270904,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.12501110981715427
0.2,1.25,11,0.2891969146320243,0.007372668413357496,0.0014745336826714993,0.2338874746306954,0.05451369857891339,0.0553094400013289,0.04714103016555589,7.72066966825067,-7.105263157894739,-2.963234656491987,2.2674015062140267,2.291106301083658,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.09824430030845226
0.2,1.25,12,0.18126482728102922,0.005974972522437485,0.0011949945044874971,0.2338874746306954,0.05451369857891339,0.05262264734966618,0.048538726056475905,7.86759156475824,-7.105263157894739,-0.8620808710938942,2.484223117574953,0.07058428759356516,0.26803873697916675,0.05534212239583334,0.011068424479166668,True,0.13144646572194263
0.2,1.275,1,0.2301504667171229,0.0068376839893224475,0.0013675367978644897,0.23117469441517483,0.050919975576394085,0.0010242276980519383,0.04408229158707164,6.20745943150846,-7.105263157894739,-1.9923406384839153,2.5393093687589294,0.24390877614363915,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.10302703571595298
0.2,1.275,2,0.2399627712671303,0.006970604039021136,0.0013941208078042274,0.23117469441517483,0.050919975576394085,0.008788076851955484,0.043949371537372946,6.343415361993346,-7.105263157894739,-2.316890098579522,2.465101828835212,0.35997935350772403,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.09827873148016497
0.2,1.275,3,0.220351543167758,0.006703247105506659,0.001340649421101332,0.23117469441517483,0.050919975576394085,0.010823151247416812,0.04421672847088742,6.423072956366609,-7.105263157894739,-1.7315641625168476,2.5703592413053897,0.18376548016914784,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.10845296996023397
0.2,1.275,4,0.24978880987132016,0.007101932378055637,0.0014203864756111276,0.23117469441517483,0.050919975576394085,0.01861411545614533,0.043818043198338444,6.5209555525586635,-7.105263157894739,-2.7113256687484055,2.3183069697020713,0.6575386329101334,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.0943146377891711
0.2,1.275,5,0.21056560191852725,0.006567316847575331,0.0013134633695150663,0.23117469441517483,0.050919975576394085,0.02060909249664758,0.04435265872881875,6.638722622100705,-7.105263157894739,-1.5191173996182044,2.5778766935311666,0.14720563033247025,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.11445700088751913
0.2,1.275,6,0.25962888207390084,0.0072315485869471376,0.0014463097173894276,0.23117469441517483,0.050919975576394085,0.02845418765872601,0.043688426989446943,6.699149772029882,-7.105263157894739,-3.022109983647614,2.182869087112077,1.6389578201136703,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.09124160221859834
0.2,1.275,7,0.20079220534151415,0.006429859420104609,0.001285971884020922,0.23117469441517483,0.050919975576394085,0.030382489073660673,0.04449011615628948,6.854408585503648,-7.105263157894739,-1.34292341416022,2.572548390599354,0.12267700129760462,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.12095028099938551
0.2,1.275,8,0.2694832249784092,0.007359293236923661,0.0014718586473847321,0.23117469441517483,0.050919975576394085,0.03830853056323438,0.04356068233947043,6.878039646380125,-7.105263157894739,-2.8393380263857386,2.389337555870573,2.531618821181536,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.08915671726385067
0.2,1.275,9,0.2793520034480304,0.00748497567861789,0.001496995135723578,0.23117469441517483,0.050919975576394085,0.04817730903285558,0.043434999897776196,7.0576664572086445,-7.105263157894739,-2.472844539908125,2.617941268366393,2.7982064502975676,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.08813527241911404
0.2,1.275,10,0.19103088245534303,0.006290777321561019,0.0012581554643122039,0.23117469441517483,0.050919975576394085,0.0401438119598318,0.044629198254833066,7.070142380797516,-7.105263157894739,-1.1943014806426377,2.560271981417641,0.10508561497099123,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.1278559061616702
0.2,1.275,11,0.28923529978342544,0.007608383639884045,0.001521676727976809,0.23117469441517483,0.050919975576394085,0.05806060536825061,0.04331159193651004,7.238067896914076,-7.105263157894739,-2.1179109722965492,2.7527856445709062,2.9060542927743955,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.08821945625106449
0.2,1.275,12,0.1812811334033851,0.006149901575253256,0.0012299803150506512,0.23117469441517483,0.050919975576394085,0.04989356101178974,0.04477007400114083,7.285947880246308,-7.105263157894739,-1.0670176578345223,2.544405869447033,0.09184745267454719,0.2813452148437499,0.05154134114583334,0.010308268229166669,True,0.1351086656719785
0.2,1.3,1,0.2695146399011502,0.0076156757568558815,0.0015231351513711763,0.2727688216788323,0.04671105940369977,0.003254181777682108,0.03909538364684389,5.612286701553805,-7.105263157894739,-1.981209077618343,2.7977015463893453,2.9293827890827626,0.7616080729166668,1e-06,2e-07,True,0.49232903628013336
0.2,1.3,2,0.2793858166480884,0.007748727143040667,0.0015497454286081335,0.2727688216788323,0.04671105940369977,0.006616994969256107,0.0389623322606591,5.659437088837833,-7.105263157894739,-1.6832930911812878,2.8410221126572877,2.9772461257050438,0.7616080729166668,1e-06,2e-07,True,0.48247115306958044
0.2,1.3,3,0.2596579237012931,0.00748070534865404,0.0014961410697308082,0.2727688216788323,0.04671105940369977,0.013110897977539226,0.03923035405504573,5.829793479398392,-7.105263157894739,-2.329119838894619,2.6916048104960404,2.8438117333275796,0.7616080729166668,1e-06,2e-07,True,0.5021730142747086
0.2,1.3,4,0.2892714875583231,0.007879662957575636,0.0015759325915151272,0.2727688216788323,0.04671105940369977,0.016502665879490785,0.03883139644612413,5.837338722161172,-7.105263157894739,-1.4324835238627702,2.845433129322854,3.007711668617068,0.7616080729166668,1e-06,2e-07,True,0.4725993474265238
0.2,1.3,5,0.29917158156497065,0.008008293197301123,0.0016016586394602247,0.2727688216788323,0.04671105940369977,0.026402759886138327,0.03870276620639865,6.0158495228088436,-7.105263157894739,-1.2219648952742628,2.82638839896929,3.0287827716941287,0.7616080729166668,1e-06,2e-07,True,0.4627137079351092
0.2,1.3,6,0.2498155406430329,0.007344002699022003,0.0014688005398044008,0.2727688216788323,0.04671105940369977,0.02295328103579941,0.039367056704677765,6.0472540390830885,-7.105263157894739,-2.7108337120103823,2.4928171424621617,2.6527857565683814,0.7616080729166668,1e-06,2e-07,True,0.5120031980814279
0.2,1.3,7,0.30908591337288277,0.008134454018021011,0.0016268908036042023,0.2727688216788323,0.04671105940369977,0.03631709169405045,0.03857660538567875,6.194988753893046,-7.105263157894739,-1.0448352338449205,2.793570275872296,3.0442211368373706,0.7616080729166668,1e-06,2e-07,True,0.45281444011341215
0.2,1.3,8,0.2399872809009258,0.007205731559377675,0.001441146311875535,0.2727688216788323,0.04671105940369977,0.032781540777906515,0.03950532784432209,6.264649680833829,-7.105263157894739,-3.0112468327213646,2.2331674712626857,2.039606295318154,0.7616080729166668,1e-06,2e-07,True,0.5218197804707096
0.2,1.3,9,0.31901417620225453,0.008258030576641411,0.0016516061153282824,0.2727688216788323,0.04671105940369977,0.04624535452342221,0.03845302882705835,6.374766407632957,-7.105263157894739,-0.8950994079113609,2.753029335521608,3.0560209162526775,0.7616080729166668,1e-06,2e-07,True,0.4429018758422933
0.2,1.3,10,0.23017286335840953,0.007066021976380111,0.0014132043952760224,0.2727688216788323,0.04671105940369977,0.04259595832042279,0.03964503742731966,6.481967859897177,-7.105263157894739,-2.836725304370775,2.271967128194564,0.8573040590447689,0.7616080729166668,1e-06,2e-07,True,0.5316230244264594
0.2,1.3,11,0.3289559376712119,0.008378982688832389,0.0016757965377664778,0.2727688216788323,0.04671105940369977,0.05618711599237958,0.03833207671486738,6.55517953197666,-7.105263157894739,-0.767815656784479,2.7085588413138426,3.06533532816308,0.7616080729166668,1e-06,2e-07,True,0.43297648031756747
0.2,1.3,12,0.220371945976173,0.006924961582778569,0.0013849923165557138,0.2727688216788323,0.04671105940369977,0.05239687570265933,0.0397860978209212,6.699203196870857,-7.105263157894739,-2.421112684745398,2.446721613497851,0.4206078661801397,0.7616080729166668,1e-06,2e-07,True,0.5414132525913504
