mach,alpha,representation,representation_label,run_dir,best_epoch,best_ci_mae,best_p_rel,best_env,best_phase,last_epoch,last_ci_mae,last_p_rel,last_env,last_phase
0.5,0.2,amplitude_phase,Amp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.200_amplitude_phase,1500,6.930436977548027e-05,0.4781879712666473,0.46619309081556004,0.11721139405036217,1500,6.930436977548027e-05,0.4781879712666473,0.46619309081556004,0.11721139405036217
0.5,0.2,cartesian,Re/Im,results/subsonic_pinn_representation_ablation_local/alpha_0.200_cartesian,1100,0.001670853234442049,0.2254289511358942,0.2086501417942184,0.04213749323052784,1500,0.00034310016742544747,0.25491583109712096,0.23662506917508067,0.043773711912238084
0.5,0.2,log_amplitude_phase,LogAmp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.200_log_amplitude_phase,900,0.0018157521258910236,0.5616415177852102,0.5494772741849704,0.12047634548644812,1500,1.5832098299028985e-08,0.8603723507074129,0.8324374351073666,0.09934936297926832
0.5,0.5,amplitude_phase,Amp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.500_amplitude_phase,800,0.00043322353011560066,0.268479491966491,0.19691913244503986,0.1165570462952993,1500,2.909989708471672e-05,0.2561726077473625,0.2029363940063932,0.09137540622720049
0.5,0.5,cartesian,Re/Im,results/subsonic_pinn_representation_ablation_local/alpha_0.500_cartesian,400,0.0005746910130362548,0.3715490435100736,0.36364521912926073,0.0314208872878335,1500,0.0005088576828818359,0.4649643754960124,0.46219877387881736,0.01629031963653585
0.5,0.5,log_amplitude_phase,LogAmp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.500_log_amplitude_phase,600,0.00015022067672204598,0.36251202041317226,0.30820497772736316,0.13479185697385562,1500,1.283043432609432e-08,5.218875482398976,5.197265484769741,0.16787990278062573
0.5,0.8,amplitude_phase,Amp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.800_amplitude_phase,1300,0.0009663917034085298,0.2078853222409935,0.20454964012843216,0.02634167034810809,1500,0.0008449062614853883,0.2116555679337485,0.20868892364225217,0.02504891800766446
0.5,0.8,cartesian,Re/Im,results/subsonic_pinn_representation_ablation_local/alpha_0.800_cartesian,1300,0.0013559974639828706,0.4026687655674042,0.401605560003201,0.012091565698078106,1500,0.0012426257043297792,0.4815138230618556,0.48036967700037325,0.01351632119200799
0.5,0.8,log_amplitude_phase,LogAmp/Phase,results/subsonic_pinn_representation_ablation_local/alpha_0.800_log_amplitude_phase,1500,6.6965039277611105e-09,7.592080590793542,7.591962298818587,0.011811603321774588,1500,6.6965039277611105e-09,7.592080590793542,7.591962298818587,0.011811603321774588
